0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:52:00 +0545] "GET /Java_Project/welcom.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:52:10 +0545] "GET /Java_Project/welcome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:52:10 +0545] "GET /Java_Project/login.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:52:20 +0545] "POST /Java_Project/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:52:20 +0545] "GET /Java_Project/login.jsp?error=1 HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:52:37 +0545] "GET /Java_Project/login.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:58:16 +0545] "GET /Java_Project/index.html HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:58:22 +0545] "GET /Java_Project/login.jsp? HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:58:24 +0545] "GET /Java_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:58:25 +0545] "GET /Java_Project/register.jsp? HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:58:25 +0545] "GET /Java_Project/registerStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:58:26 +0545] "GET /Java_Project/index.html HTTP/1.1" 304 -
